model,val_accuracy,precision_macro,recall_macro,f1_macro,params
model_a,0.6506849315068494,0.6512232245231131,0.6498695174557243,0.6448372703600352,2814
model_b,0.9611872146118722,0.9624732771236655,0.9607191276156793,0.961110676131816,249331
model_c,0.9931506849315068,0.9930715197956577,0.9931479248720628,0.9931020016660123,45523
