model_name,lr,batch,augment,val_acc,runtime,n_params
model_a,0.001,16,True,0.6484017968177795,39.8860329000745,2814
model_a,0.001,16,False,0.5547945499420166,36.4362443999853,2814
model_a,0.001,32,True,0.664383590221405,47.509781500091776,2814
model_a,0.001,32,False,0.646118700504303,34.03396390005946,2814
model_a,0.0005,16,True,0.5616438388824463,40.710607199929655,2814
model_a,0.0005,16,False,0.5547945499420166,33.335879100020975,2814
model_a,0.0005,32,True,0.5114155411720276,44.658110899850726,2814
model_a,0.0005,32,False,0.6027397513389587,33.88881170004606,2814
model_a,0.0003,16,True,0.5639269351959229,46.35074659995735,2814
model_a,0.0003,16,False,0.5251141786575317,35.97751870006323,2814
model_a,0.0003,32,True,0.5068492889404297,46.232712500030175,2814
model_a,0.0003,32,False,0.34246575832366943,33.64542019995861,2814
model_b,0.001,16,True,0.34246575832366943,42.9466704998631,249331
model_b,0.001,16,False,0.9634703397750854,31.609095100080594,249331
model_b,0.001,32,True,0.965753436088562,48.09073799988255,249331
model_b,0.001,32,False,0.922374427318573,30.184068800183013,249331
model_b,0.0005,16,True,0.922374427318573,50.31073519983329,249331
model_b,0.0005,16,False,0.9452054500579834,34.312290200032294,249331
model_b,0.0005,32,True,0.9383561611175537,45.68831740017049,249331
model_b,0.0005,32,False,0.9337899684906006,30.589748499915004,249331
model_b,0.0003,16,True,0.7031963467597961,44.74636389990337,249331
model_b,0.0003,16,False,0.9520547986030579,31.107525100000203,249331
model_b,0.0003,32,True,0.9246575236320496,43.14680949994363,249331
model_b,0.0003,32,False,0.965753436088562,28.77042040019296,249331
model_c,0.001,16,True,0.9292237162590027,191.56985500012524,45523
model_c,0.001,16,False,0.9863013625144958,183.27230580011383,45523
model_c,0.001,32,True,0.956620991230011,227.31133650010452,45523
model_c,0.001,32,False,0.990867555141449,228.79392690001987,45523
model_c,0.0005,16,True,0.9474886059761047,229.47916950006038,45523
model_c,0.0005,16,False,0.9931507110595703,221.05557639990002,45523
model_c,0.0005,32,True,0.9680365324020386,226.98779319995083,45523
model_c,0.0005,32,False,0.9726027250289917,203.03659030003473,45523
model_c,0.0003,16,True,0.965753436088562,200.25280439993367,45523
model_c,0.0003,16,False,0.9954338073730469,188.13490090006962,45523
model_c,0.0003,32,True,0.8904109597206116,206.0209262999706,45523
model_c,0.0003,32,False,0.9703196287155151,196.40710630011745,45523
